Tên Công Ty,Địa Chỉ,Thành Phố,Số Điện Thoại,Ngành,Google Maps Link,Rating Google Maps,Số Lượt Đánh Giá,Ghi Chú
"SALON D CO.,LTD","1F, No. 29 -31 Binh Minh 1, Binh Thuan, Hai Chau, Da Nang",DA NANG,+84932598077,기타,"https://www.google.com/maps/search/SALON+D+CO.,LTD+DA+NANG+Vietnam",4.0,,
"SAM IL CONSTRUCTION CO., LTD","11th Floor, MD Complex Tower, No. 68 Nguyen Co Thach, My Dinh I, Nam Tu Liem, Hanoi",HA NOI,+842462824204,건설 및 건설자재,"https://www.google.com/maps/search/SAM+IL+CONSTRUCTION+CO.,+LTD+HA+NOI+Vietnam",4.5,,
SAM KWANG AIR TECH,"Lo VII 4, KCN Thuan Thanh 3, Thanh Khuong, Thuan Thanh, Bac Ninh",BAC NINH,+842223798801,제조업,https://www.google.com/maps/search/SAM+KWANG+AIR+TECH+BAC+NINH+Vietnam,4.5,,
"SAM SUNG INDUSTRIAL Co.,Ltd","Dai Dong - Hoan Son I.Z, Dai Dong, Tien Du, Bac Ninh",BAC NINH,+842223734186,제조업,"https://www.google.com/maps/search/SAM+SUNG+INDUSTRIAL+Co.,Ltd+BAC+NINH+Vietnam",4.5,,
SAMA INDUSTRIES VINA,"Lot 02 Viet Tien I.Z, Viet Tien, Viet Yen, Bac Giang",BAC GIANG,+842043661532,"섬유, 의류, 봉제 제조",https://www.google.com/maps/search/SAMA+INDUSTRIES+VINA+BAC+GIANG+Vietnam,4.5,,
"SAMAS VINA CO., LTD","Lot II-CN-08.2, KCN Thanh Liem, Thanh Tuyen, Phu Ly, Ha Nam",HA NAM,+842262210002,제조업,"https://www.google.com/maps/search/SAMAS+VINA+CO.,+LTD+HA+NAM+Vietnam",3.9,,
SAMCHULLY CARBOTECH VIETNAM,"Lot CN15, CN16, CN17 Luong Dien I.Z, Luong Dien, Cam Giang, Hai Duong",HAI DUONG,+842203789505,"환경, 설비, 기계",https://www.google.com/maps/search/SAMCHULLY+CARBOTECH+VIETNAM+HAI+DUONG+Vietnam,,,
SAMDUCK KDP,"1801 N2T3 B/D Ngoai Giao Doan, Xuan Tao, Bac Tu Liem, Hanoi",HA NOI,+842432252061,"물류, 운수, 여행업",https://www.google.com/maps/search/SAMDUCK+KDP+HA+NOI+Vietnam,4.6,,
SAMHWA PAINTS VINA,"Lot 080A, No 11, Street 11, VSIP Bac Ninh Integrated Township and Industrial Park, Phu Chan Commune, Tu Son Town, Bac Ninh Province, Vietnam",BAC NINH,+842223764590,제조업,https://www.google.com/maps/search/SAMHWA+PAINTS+VINA+BAC+NINH+Vietnam,4.3,,
SAMHWA VIET NAM COMPANY LIMITED,"Lot CN07, KCN Cam Khe, Cam Khe, Phu Tho",PHU THO,+842103889588,제조업,https://www.google.com/maps/search/SAMHWA+VIET+NAM+COMPANY+LIMITED+PHU+THO+Vietnam,4.9,,
SAMHWA YANGHENG VINA,"Lot CN5, Diem Thuy Iz., Phu Binh, Thai Nguyen",THAI NGUYEN,+842083931530,"전자, 전기 제조업",https://www.google.com/maps/search/SAMHWA+YANGHENG+VINA+THAI+NGUYEN+Vietnam,4.9,,
SAMIN VINA,"Lot C7-1, Que Vo I.Z, Nam Son, Bac Ninh",BAC NINH,+842223621996,"전자, 전기 제조업",https://www.google.com/maps/search/SAMIN+VINA+BAC+NINH+Vietnam,4.6,,
SAMJIN LND VINACO,"Lot A12-1, Ba Thien II I.Z, Thien Ke, Binh Xuyen, VINH PHUC",VINH PHUC,+849795226610,"전자, 전기 제조업",https://www.google.com/maps/search/SAMJIN+LND+VINACO+VINH+PHUC+Vietnam,4.5,,
"SAMJU TRADE CO.,LTD","62 Bach Dang, Phuong 2, Quan Tan Binh, T.P Ho Chi Minh",HO CHI MINH,+842822290688,"유통, 도소매, 무역","https://www.google.com/maps/search/SAMJU+TRADE+CO.,LTD+HO+CHI+MINH+Vietnam",4.2,,
SAMJUVINA,"Lot CN3-3, Diem Thuy I.P, Thuy DIem, Phu Binh, Thai Nguyen",THAI NGUYEN,+842083931603,제조업,https://www.google.com/maps/search/SAMJUVINA+THAI+NGUYEN+Vietnam,4.4,,
SAMKYOUNG VINA,"Tuyen 3, Dong VanⅡ I.Z, Bach Thuong, Duy Tien, Ha Nam",HA NAM,+842263585679,"전자, 전기 제조업",https://www.google.com/maps/search/SAMKYOUNG+VINA+HA+NAM+Vietnam,4.4,,
"SAMPO VINA CO.,LTD","Lot B8, Que Vo I.Z, Van Duong, Bac Ninh",BAC NINH,+842226251900,제조업,"https://www.google.com/maps/search/SAMPO+VINA+CO.,LTD+BAC+NINH+Vietnam",4.5,,
SAMSIN VINA,"Chau Son I.Z, Chau Son, Phu Ly, Ha Nam",HA NAM,+842263518169,"전자, 전기 제조업",https://www.google.com/maps/search/SAMSIN+VINA+HA+NAM+Vietnam,4.6,,
SAMSON EPOXY,"117 Pho thien Hien, My Dinh 1, Nam Tu Liem, Hanoi",HA NOI,+842437878495,제조업,https://www.google.com/maps/search/SAMSON+EPOXY+HA+NOI+Vietnam,4.5,,
"Samsung Climate Control Vietnam Co., Ltd","Part of Lot J, KCN Dong Van II, Bach Thuong, Duy Tien, Ha Nam",HA NAM,+842263582981,제조업,"https://www.google.com/maps/search/Samsung+Climate+Control+Vietnam+Co.,+Ltd+HA+NAM+Vietnam",4.5,,
SAMSUNG DISPLAY VIETNAM,"Yen Phong I.P, Yen Trung, Yen Phong, Bac Ninh",BAC NINH,+842223905021,"전자, 전기 제조업",https://www.google.com/maps/search/SAMSUNG+DISPLAY+VIETNAM+BAC+NINH+Vietnam,,,
SAMSUNG ELECTRONICS MECHANICS VIETNAM-SEMV,"Yen Binh I.Z, Pho Yen, Thai Nguyen",THAI NGUYEN,+849175789220,"전자, 전기 제조업",https://www.google.com/maps/search/SAMSUNG+ELECTRONICS+MECHANICS+VIETNAM-SEMV+THAI+NGUYEN+Vietnam,4.3,,
SAMSUNG ELECTRONICS VIETNAM,"Khu Cong Nghiep Yen Phong Yen Phong 1, Yen Trung, Yen Phong, Bac Ninh",BAC NINH,+842223696000,"전자, 전기 제조업",https://www.google.com/maps/search/SAMSUNG+ELECTRONICS+VIETNAM+BAC+NINH+Vietnam,3.9,,
SAMSUNG SDS VIETNAM,"Lot CN05, YP6, Yen Phong I.Z, Yen Trung, Yen Phong, Bac Ninh",BAC NINH,+842223699158,"물류, 운수, 여행업",https://www.google.com/maps/search/SAMSUNG+SDS+VIETNAM+BAC+NINH+Vietnam,4.1,,
SAMSUNG VINA INSURANCE,"19F, Keangnam Landmark Tower, Nam Tu Liem, Ha Noi",HA NOI,+842439425251,"금융, 보험",https://www.google.com/maps/search/SAMSUNG+VINA+INSURANCE+HA+NOI+Vietnam,4.3,,
SAMSUNG WELSTORY VIETNAM,"3th Floor, Halla Tower, IP Yen Phong, Bac Ninh",BAC NINH,+842223699930,"숙박, 요식, 급식",https://www.google.com/maps/search/SAMSUNG+WELSTORY+VIETNAM+BAC+NINH+Vietnam,4.2,,
"SAMWOO EMS VINA CO.,LTD","Yen Phong I.Z, Long Chau, Yen Phong, Bac Ninh",BAC NINH,+842223699988,"전자, 전기 제조업","https://www.google.com/maps/search/SAMWOO+EMS+VINA+CO.,LTD+BAC+NINH+Vietnam",,,
SAMWOOELECO HA NOI,"5F, CIT B/D, No6, Lane 15, Duy Tan, Dich Vong Hau, Cau Giay, Hanoi",HA NOI,+842432123107,"유통, 도소매, 무역",https://www.google.com/maps/search/SAMWOOELECO+HA+NOI+HA+NOI+Vietnam,,,
SAMYANG ANIMAL CLINIC,"No 29 N7A, Nguyen Thi Thap, Trung Hoa Nhan Chinh, Thanh Xuan, Hanoi",HA NOI,+842432002962,"병원, 의약, 위생, 의료",https://www.google.com/maps/search/SAMYANG+ANIMAL+CLINIC+HA+NOI+Vietnam,4.3,,
"SAMYANG ANIPHARM CO.,LTD","no 29, N7A, Nguyen Thi Thap, Trung Hoa Nhan Chinh, Hanoi",HA NOI,+842462979851,"유통, 도소매, 무역","https://www.google.com/maps/search/SAMYANG+ANIPHARM+CO.,LTD+HA+NOI+Vietnam",4.1,,
SAN DUL CHE,"9c Dinh Thon, My Dinh, Nam Tu Liem, Hanoi.",HA NOI,+843755525170,"숙박, 요식, 급식",https://www.google.com/maps/search/SAN+DUL+CHE+HA+NOI+Vietnam,4.2,,
"SANG-A FRONTEC VINA Co.,Ltd","No. 37, Road 11, I.Z, VSIP Bac Ninh, Dai Dong, Tien Du, Bac Ninh",BAC NINH,+842223835535,"환경, 설비, 기계","https://www.google.com/maps/search/SANG-A+FRONTEC+VINA+Co.,Ltd+BAC+NINH+Vietnam",4.7,,
"Sangwoo Vietnam Co., Ltd","Road 2, VSIP, Hung Tay, Hung Nguyen, Nghe An",NGHE AN,+842383209238,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/Sangwoo+Vietnam+Co.,+Ltd+NGHE+AN+Vietnam",3.9,,
SANHA,Voi-Yen My Industrial Zone Voi town – Lang Giang – Bac Giang,BAC GIANG,+84552802737,제조업,https://www.google.com/maps/search/SANHA+BAC+GIANG+Vietnam,4.4,,
"SANICO VIETNAM Co.,Ltd","Lot CN4, Gia Van I.C, Gia Vien, Ninh Binh",NINH BINH,+842293833579,"전자, 전기 제조업","https://www.google.com/maps/search/SANICO+VIETNAM+Co.,Ltd+NINH+BINH+Vietnam",4.0,,
"SANSHO JK-HA NOI CO.,LTD","Part of lot CN7, Hop Thinh industrial cluster, Hop Thinh, Hiep Hoa, Bac Giang",BAC GIANG,+842042200008,"전자, 전기 제조업","https://www.google.com/maps/search/SANSHO+JK-HA+NOI+CO.,LTD+BAC+GIANG+Vietnam",4.2,,
SANTOH VINA LOGISTICS,"Floor 5B, VMT Building, Block A1F, Cum TTCN va CNN, Duy Tan, Dich Vong Hau, Cau Giay, Hanoi",HA NOI,+842462821211,"물류, 운수, 여행업",https://www.google.com/maps/search/SANTOH+VINA+LOGISTICS+HA+NOI+Vietnam,3.9,,
SAO DO INVESTMENT GROUP JSC,"No. 768B Ngo Gia Tu, Thanh To, Hai An, Hai Phong",HAI PHONG,+842253814301,부동산개발.임대,https://www.google.com/maps/search/SAO+DO+INVESTMENT+GROUP+JSC+HAI+PHONG+Vietnam,,,
SAPA JADE HILL HOSPITALITY MANAGEMENT J.S.C,Tháp A - Tòa Golden Palace - đường Mễ Trì - Nam Từ Liêm - HN BRANCH: Tháp A - Tòa Golden Palace - đường Mễ Trì - Nam Từ Liêm - HN,HA NOI,+84984266496,"숙박, 요식, 급식",https://www.google.com/maps/search/SAPA+JADE+HILL+HOSPITALITY+MANAGEMENT+J.S.C+HA+NOI+Vietnam,4.0,,
Savills Vietnam,"21/F, West Tower, Lotte Center Ha Noi, 54 Lieu Giai Street, Ba Dinh District, Ha Noi, Vietnam",HA NOI,+842473019888,부동산개발.임대,https://www.google.com/maps/search/Savills+Vietnam+HA+NOI+Vietnam,4.5,,
SB INVEST GROUP,"2th floor,21T2 Hapulico Building, No.81 Vu trong Phung, Nhan Chinh, Thanh Xuan, Ha Noi BRANCH: 6th floor, PDD building No.162 Pasteur, Ben Nghe Distrist",HA NOI,+842462620246,부동산개발.임대,https://www.google.com/maps/search/SB+INVEST+GROUP+HA+NOI+Vietnam,4.3,,
SBB medical service joint stock company,"499 Trần Khát Chân, Ha Noi",HA NOI,+84982072499,"병원, 의약, 위생, 의료",https://www.google.com/maps/search/SBB+medical+service+joint+stock+company+HA+NOI+Vietnam,4.4,,
SB-TECH VINA,"F1504A Room, 15Th Floor Charmvit, No. 117 Tran Duy Hung, Trung Hoa, Cau Giay, Hanoi",HA NOI,+842473010088,건설 및 건설자재,https://www.google.com/maps/search/SB-TECH+VINA+HA+NOI+Vietnam,4.9,,
S-CONNECT BG VINA,"Van Trung Industrial Zone, Viet Yen District, Bac Giang City, Vietnam",BAC GIANG,+842043662656,"전자, 전기 제조업",https://www.google.com/maps/search/S-CONNECT+BG+VINA+BAC+GIANG+Vietnam,4.6,,
SD CHEMICAL VINA,"No 33 Ly Thai To, Ninh Xa, Bac Ninh",BAC NINH,+842226558964,"유통, 도소매, 무역",https://www.google.com/maps/search/SD+CHEMICAL+VINA+BAC+NINH+Vietnam,4.5,,
SD GLOBAL VIETNAM Ltd,"Lo dat XN3, KCN Dai An mo rong, TT Lai Cach, CamGiang, Tinh Hai Duong",HAI DUONG,+842203555561,제조업,https://www.google.com/maps/search/SD+GLOBAL+VIETNAM+Ltd+HAI+DUONG+Vietnam,4.2,,
"SD INDUSTRIAL VINA CO.,LTD","Room 245, Floor 2, GRAND PLAZA Trade center, No 117 Tran Duy Hung, Cau Giay, Hanoi",HA NOI,+842436882646,"유통, 도소매, 무역","https://www.google.com/maps/search/SD+INDUSTRIAL+VINA+CO.,LTD+HA+NOI+Vietnam",4.4,,
SDS INDUSTRY,"Lot C, N3 Road, Chau Son Ip, Chau Son Ward, Phu Ly City, Ha Nam Province, Vietnam",HA NAM,+842263828358,제조업,https://www.google.com/maps/search/SDS+INDUSTRY+HA+NAM+Vietnam,4.2,,
SDT VINA,"Lot CN 02-5, Binh Xuyen II I.Z, Ba Hien, Binh Xuyen, VINH PHUC",VINH PHUC,+84988034502,"전자, 전기 제조업",https://www.google.com/maps/search/SDT+VINA+VINH+PHUC+Vietnam,4.4,,
SE MYUNG ELECTRIC & POWER,"Lot 04, TDC 01, Mo Lao, Ha Dong, Hanoi BRANCH: No.55, Nguyen Trai, Nghia Lo, Quang Ngai",HA NOI,+842466534289,건설 및 건설자재,https://www.google.com/maps/search/SE+MYUNG+ELECTRIC+&+POWER+HA+NOI+Vietnam,4.4,,
"SEA HENG TECH VIETNAM Co.,Ltd","Dai Dong, Hoan Son I.Z, Dai Dong, Tien Du, Bac Ninh",BAC NINH,+842223848055,제조업,"https://www.google.com/maps/search/SEA+HENG+TECH+VIETNAM+Co.,Ltd+BAC+NINH+Vietnam",4.4,,
SEAH VINA,"Lot O-1, Que Vo I.Z, (Extension Area), Nam Son, Bac Ninh",BAC NINH,+842223952128,"전자, 전기 제조업",https://www.google.com/maps/search/SEAH+VINA+BAC+NINH+Vietnam,4.9,,
SEAHENGINEERING VIET NAM COMPANY LIMITED,"Trai Nam village, Dong Tien, Yen The, Bac Giang",BAC GIANG,+842043818188,"전자, 전기 제조업",https://www.google.com/maps/search/SEAHENGINEERING+VIET+NAM+COMPANY+LIMITED+BAC+GIANG+Vietnam,4.1,,
"SEAN E&C VINA Co.,Ltd","No 41, group 3, Phan Dinh Phung, Thai Nguyen BRANCH: R1003, 10th Floor, CMC Tower, No 11 Duy Tan, Dich Vong Hau, Cau Giay, Hanoi",THAI NGUYEN,+842432252505,제조업,"https://www.google.com/maps/search/SEAN+E&C+VINA+Co.,Ltd+THAI+NGUYEN+Vietnam",3.9,,
"SEBANG CHAIN VINA CO.,LTD","D2, Zone C, KCN Hoa Mac, Hoa Mac, Duy Tien, Ha Nam",HA NAM,+842263555514,제조업,"https://www.google.com/maps/search/SEBANG+CHAIN+VINA+CO.,LTD+HA+NAM+Vietnam",5.0,,
SEBANG VINA,"5fi, Licogi 13 Tower, Khuat Duy Tien, Nhan Chinh, Thanh Xuan, Hanoi BRANCH: Lot4, Textile I.P, Pho Noi, B, Di Su, My Hao, Hung Yen",HUNG YEN,+842432222108,"물류, 운수, 여행업",https://www.google.com/maps/search/SEBANG+VINA+HUNG+YEN+Vietnam,4.5,,
"SEBOMEC VIETNAM Co.,Ltd","LK1,-E01, North An Khanh, Hoai Duc Hanoi",HA NOI,+842422250273,건설 및 건설자재,"https://www.google.com/maps/search/SEBOMEC+VIETNAM+Co.,Ltd+HA+NOI+Vietnam",4.7,,
SEBONG VINA CORP,"2F CC2 Lot, Yen Phong I.Z, Yen Trung, Yen Phong, Bac Ninh",BAC NINH,+842226271024,"유통, 도소매, 무역",https://www.google.com/maps/search/SEBONG+VINA+CORP+BAC+NINH+Vietnam,4.3,,
SEDO VINAKO,"Dong Yen Hamlet, Duy Trinh, Duy Xuyen, Quang Nam",QUANG NAM,+842353739000,"섬유, 의류, 봉제 제조",https://www.google.com/maps/search/SEDO+VINAKO+QUANG+NAM+Vietnam,,,
SEGI VIET NAM,"Lot C2-2, Ba thien Ⅱ Industrial Park, Thien Ke-Binh Xuyen-VINH PHUC BRANCH: Lot C2-2, Ba thien Ⅱ Industrial Park, Thien Ke-Binh Xuyen-VINH PHUC",VINH PHUC,+84865672382,"전자, 전기 제조업",https://www.google.com/maps/search/SEGI+VIET+NAM+VINH+PHUC+Vietnam,4.7,,
SEGYUNG VINA,"Lo H1 KCN Que Vo, Phuong Lieu, Que vo, Bac Ninh",BAC NINH,+842223952295,"전자, 전기 제조업",https://www.google.com/maps/search/SEGYUNG+VINA+BAC+NINH+Vietnam,4.4,,
SEHWA,"Lot CN 14, Khai Quang I.Z, VINH PHUC",VINH PHUC,+842113843751,"섬유, 의류, 봉제 제조",https://www.google.com/maps/search/SEHWA+VINH+PHUC+Vietnam,4.3,,
SEHYUN TRADE,"Lot 10, New urban area project, Le Thai To, Vo Cuong, Bac Ninh",BAC NINH,+842223952500,"유통, 도소매, 무역",https://www.google.com/maps/search/SEHYUN+TRADE+BAC+NINH+Vietnam,4.0,,
SEIJIN BAGS VINA,"Dong Lang IP, Phu Ninh district, Phu Tho",PHU THO,+842103970985,제조업,https://www.google.com/maps/search/SEIJIN+BAGS+VINA+PHU+THO+Vietnam,3.9,,
SEIL M - TECH VINA COMPANY LIMITED,"Lot CN-06, South Zone A KCN Bim Son, Bac Son, Bim Son, Thanh Hoa",THANH HOA,+842373762188,제조업,https://www.google.com/maps/search/SEIL+M+-+TECH+VINA+COMPANY+LIMITED+THANH+HOA+Vietnam,4.5,,
SEILENS,"Tầng 25 khối A Tòa nhà Sông Đà, đường Phạm Hùng, Mỹ Đình 1, Nam Từ Liêm, Hà Nội BRANCH: Lô 08-1, khu công nghiệp Yên Phong mở rộng, xã Yên Trung, huyện Yên Phong, tỉnh Bắc Ninh",HA NOI,+842437858327,건설 및 건설자재,https://www.google.com/maps/search/SEILENS+HA+NOI+Vietnam,4.0,,
SEIN BLUE TEC VIETNAM,"Lot B10-B12 (Viet An Company) Dinh Tram I.Z, Viet Yen, Bac Giang",BAC GIANG,+842043661545,"전자, 전기 제조업",https://www.google.com/maps/search/SEIN+BLUE+TEC+VIETNAM+BAC+GIANG+Vietnam,4.4,,
"SEIN I&D VIETNAM CO., LTD.","Room 2309, 23F, Keangnam Hanoi Landmark Tower 72, Plot E6, Cau Giay New Urban Area, Metri Ward, Nam Tu Liem District, Hanoi, Vietnam.",HA NOI,+842437835607,"금융, 보험","https://www.google.com/maps/search/SEIN+I&D+VIETNAM+CO.,+LTD.+HA+NOI+Vietnam",,,
SEIN T&T VIETNAM,"Lot NV-B22, Trung Hoa Nhan Chinh, Thanh Xuan, Hanoi",HA NOI,+842462818076,"유통, 도소매, 무역",https://www.google.com/maps/search/SEIN+T&T+VIETNAM+HA+NOI+Vietnam,4.4,,
"SEIN TOGETHER KEE EUN CO., LTD","Block 6 Thuy Van IZ. Viet Tri, PhuTho",PHU THO,+842103857583,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/SEIN+TOGETHER+KEE+EUN+CO.,+LTD+PHU+THO+Vietnam",,,
"SEIN VINA Co.,Ltd","Lot CN8 Diem Thuy I.Z, Phu Binh, Thai Nguyen",THAI NGUYEN,+842083931570,제조업,"https://www.google.com/maps/search/SEIN+VINA+Co.,Ltd+THAI+NGUYEN+Vietnam",3.8,,
"SEJIN ELECTRONICS VINA CO.,LTD","2 street, Phuc Thang, Phuc Yen, VINH PHUC",VINH PHUC,+84962396931,"전자, 전기 제조업","https://www.google.com/maps/search/SEJIN+ELECTRONICS+VINA+CO.,LTD+VINH+PHUC+Vietnam",4.4,,
SEJIN INDUSTRY VINA,"Dai Dong - Hoan Son I.z, Tien Du, Bac Ninh",BAC NINH,+842223846065,제조업,https://www.google.com/maps/search/SEJIN+INDUSTRY+VINA+BAC+NINH+Vietnam,4.3,,
"SEJIN VINA CO.,LTD","Thanh Xuyen, Dong Tam, Ninh Giang, Hai Duong BRANCH: An Lang, An Hoa, Vinh Bao, Hai Phong",HAI DUONG,+842203763616,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/SEJIN+VINA+CO.,LTD+HAI+DUONG+Vietnam",4.1,,
"SEJONG WISE VINA CO.,LTD","Lo no.CN-17, KCN Van Trung, Van Trung, Viet Yen, Bac Giang",BAC GIANG,+842043666698,"전자, 전기 제조업","https://www.google.com/maps/search/SEJONG+WISE+VINA+CO.,LTD+BAC+GIANG+Vietnam",4.3,,
SEJOONG ETG TRAVEL,"11F, Charmvit Tower, 117 Tran Duy Hung, Trung Hoa, Cau Giay, Hanoi",HUNG YEN,,"물류, 운수, 여행업",https://www.google.com/maps/search/SEJOONG+ETG+TRAVEL+HUNG+YEN+Vietnam,,,
SEJUNG VIET NAM,"Lo CN4, Cum CN Cau Yen, Ninh Phong, Ninh Binh",NINH BINH,+842293686882,제조업,https://www.google.com/maps/search/SEJUNG+VIET+NAM+NINH+BINH+Vietnam,4.1,,
SEKONIX VINA,"Lot C10, Ba Thien II, I.P, Thien Ke, Binh Xuyen, VINH PHUC",VINH PHUC,+842113888100,"전자, 전기 제조업",https://www.google.com/maps/search/SEKONIX+VINA+VINH+PHUC+Vietnam,4.3,,
SEKWANG VINA,"Lot CN8, Diem Thuy IZ, Phu Binh, Thai Nguyen",THAI NGUYEN,+842083931565,제조업,https://www.google.com/maps/search/SEKWANG+VINA+THAI+NGUYEN+Vietnam,,,
Sem Diamond,"Lot CN1E, Deep C 2B Industrial Park belongs to Dinh Vu - Cat Hai Economic Zone, Dong Hai 2 Ward, Hai An District",HAI PHONG,+84986027578,제조업,https://www.google.com/maps/search/Sem+Diamond+HAI+PHONG+Vietnam,4.4,,
SEM MICRO COMPANY LIMITED,"Land lot CN 1F and CN 1G KCN DEEP C 2B, Dinh Vu – Cat Hai Economic Zone, Dong Hai 2, Hai An, Hai Phong",HAI PHONG,+842252299278,제조업,https://www.google.com/maps/search/SEM+MICRO+COMPANY+LIMITED+HAI+PHONG+Vietnam,4.7,,
"SEMAPO VINA CO.,LTD","Det May I.Z, Lieu Xa, Yen My, Hung Yen",HUNG YEN,+842216250333,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/SEMAPO+VINA+CO.,LTD+HUNG+YEN+Vietnam",,,
SEMBCORP,"7th floor, Horison Bld, 40 Cat Linh, Dong Da, Hanoi",HA NOI,+842413765668,부동산개발.임대,https://www.google.com/maps/search/SEMBCORP+HA+NOI+Vietnam,4.6,,
SEMITECH VINA,"Lot 15-17, Noi Hoang I.Z, Yen Dung, Bac Giang",BAC GIANG,+842043766259,"전자, 전기 제조업",https://www.google.com/maps/search/SEMITECH+VINA+BAC+GIANG+Vietnam,4.4,,
"SEMO VIETNAM CONSTRUCTION Co.,Ltd","Km9, dai lo Thang Long, An Khanh, Hoai Duc, Hanoi.",HA NOI,+842437957380,건설 및 건설자재,"https://www.google.com/maps/search/SEMO+VIETNAM+CONSTRUCTION+Co.,Ltd+HA+NOI+Vietnam",,,
SENA TECH,"Lot H3-1C, Que Vo I.Z, Van Duong, Bac Ninh",BAC NINH,+842223952128,"전자, 전기 제조업",https://www.google.com/maps/search/SENA+TECH+BAC+NINH+Vietnam,4.5,,
Seo Kwang Vina E.V.A Hanoi,"Số 10, Lô B2, Khu biệt thự Vinhome Hàm Nghi, Cầu Diễn, Nam Từ Liêm, Hà Nội",HUNG YEN,+842432020035,"섬유, 의류, 봉제 제조",https://www.google.com/maps/search/Seo+Kwang+Vina+E.V.A+Hanoi+HUNG+YEN+Vietnam,4.5,,
"SEO NAM CO.,LTD","Van Ly IZ, Dien Quang, Dien Ban, Quang Nam",QUANG NAM,+842352213515,"유통, 도소매, 무역","https://www.google.com/maps/search/SEO+NAM+CO.,LTD+QUANG+NAM+Vietnam",3.9,,
SEO-HO INC VINA,"No. 35, Lane 342 Ho Tung Mau, Group 12 Phu Dien, Phu Dien, Tu Liem, Hanoi",HA NOI,+84978332895,건설 및 건설자재,https://www.google.com/maps/search/SEO-HO+INC+VINA+HA+NOI+Vietnam,4.5,,
SEOHUI VIETNAM,"Lot CN8-2, Diem Thuy I.Z, Diem Thuy, Phu Binh, Thai Nguyen",THAI NGUYEN,+842083931520,"전자, 전기 제조업",https://www.google.com/maps/search/SEOHUI+VIETNAM+THAI+NGUYEN+Vietnam,4.1,,
SEOI VINA TRADE COMPANY LIMITED,"No 04, Huyen Quang 2, Vo Cuong, Bac Ninh",BAC NINH,+84968099583,"유통, 도소매, 무역",https://www.google.com/maps/search/SEOI+VINA+TRADE+COMPANY+LIMITED+BAC+NINH+Vietnam,4.5,,
"SEOJIN AUTO CO., LTD","Lot J5, Dai Dong-Hoan Son Industrial Park, Tan Hong Ward, Tu Son City, Bac Ninh Province, Vietnam.",BAC NINH,+84866731889,제조업,"https://www.google.com/maps/search/SEOJIN+AUTO+CO.,+LTD+BAC+NINH+Vietnam",4.1,,
"SEOJIN SYSTEM VINA CO.,LTD","Plot 23, TS5, Tien Son I.P, Tu Son, Bac Ninh",BAC NINH,+842223734840,제조업,"https://www.google.com/maps/search/SEOJIN+SYSTEM+VINA+CO.,LTD+BAC+NINH+Vietnam",4.5,,
"SEOJIN VIET NAM CO.,LTD","Lot B1, B2, B3, B6, B7 Song Khe- Noi Hoang Industrial Park (in the North), Song Khe Commune, Bac Giang City, Bac Giang Province, Vietnam.",BAC GIANG,+84866731889,제조업,"https://www.google.com/maps/search/SEOJIN+VIET+NAM+CO.,LTD+BAC+GIANG+Vietnam",4.4,,
"SEOJIN VINA CO.,LTD","Road TS3, Tien Son Industrial Zone, Hoan Son Commune, Tien Du district, Bac Ninh Province",BAC NINH,,제조업,"https://www.google.com/maps/search/SEOJIN+VINA+CO.,LTD+BAC+NINH+Vietnam",3.8,,
"SEOKANG VINA CO.,LTD","Dong Lang I.C, Phu Ninh, Phu Ninh, Phu Tho",PHU THO,+84971188266,"전자, 전기 제조업","https://www.google.com/maps/search/SEOKANG+VINA+CO.,LTD+PHU+THO+Vietnam",4.3,,
"SEONG MIN INTERNATIONAL CO.,LTD","K27/16 Ngu Hanh Son, My An, Ngu Hanh Son, Da Nang",DA NANG,,"유통, 도소매, 무역","https://www.google.com/maps/search/SEONG+MIN+INTERNATIONAL+CO.,LTD+DA+NANG+Vietnam",4.0,,
SEONG MO KOREA JOINT STOCK COMPANY,"250 Nguyen Huu Tho Street, Hoa Cuong Bac, Hai Chau, Da Nang",DA NANG,+84903786101,법무.회계.투자자문,https://www.google.com/maps/search/SEONG+MO+KOREA+JOINT+STOCK+COMPANY+DA+NANG+Vietnam,4.5,,
SEONGHO TECH VINA,"Lo Q1, KCN Trang Due, thuoc Khu Kinh te Dinh Vu, An Hoa, An Duong, Hai Phong",HAI PHONG,+842252299352,"환경, 설비, 기계",https://www.google.com/maps/search/SEONGHO+TECH+VINA+HAI+PHONG+Vietnam,4.4,,
SEOSIN ELECTRONICS VINA,"Chau Son I.Z, Le Hong Phong, Phu Ly, Ha Nam",HA NAM,+842263660666,"전자, 전기 제조업",https://www.google.com/maps/search/SEOSIN+ELECTRONICS+VINA+HA+NAM+Vietnam,4.4,,
SEOUL AQUA,"B44 Duong 4A, Phuong Tan Hung, Quan 7, HO CHI MINH",HO CHI MINH,+842862734470,"유통, 도소매, 무역",https://www.google.com/maps/search/SEOUL+AQUA+HO+CHI+MINH+Vietnam,4.0,,
